name,variant,nodes,edges,min_degree,max_degree,mean_degree,controversial,single_hashtag
eurovaalit,original,2789,4122,1,209,2.9558981713875943,1,1
GREEN,p1,2225,4582,1,351,4.118651685393258,1,0
GREEN,p2,1537,2670,1,216,3.4743005855562785,1,0
GREEN,p3,1757,3839,1,311,4.3699487763232785,1,0
politiikka,p1,4134,6763,1,234,3.2718916303821963,1,1
politiikka,p2,3542,5705,1,524,3.2213438735177866,1,1
politiikka,p3,3253,5206,1,490,3.2007377805102983,1,1
vasemmisto,p1,1070,2186,1,136,4.085981308411215,1,1
vasemmisto,p2,692,1121,1,95,3.239884393063584,1,1
CENTRE,p1,1600,2887,1,200,3.60875,1,0
CENTRE,p2,1488,2206,1,113,2.96505376344086,1,0
CENTRE,p3,1030,1727,1,155,3.353398058252427,1,0
SDP,p1,2084,4646,1,286,4.45873320537428,1,0
SDP,p2,1424,2859,1,143,4.015449438202247,1,0
SDP,p3,732,1055,1,89,2.8825136612021858,1,0
turpo,p1,1988,3794,1,184,3.816901408450704,0,1
turpo,p2,1481,2375,1,234,3.2072923700202565,0,1
turpo,p3,1861,3005,1,313,3.2294465341214402,0,1
sak,p1,1360,1871,1,350,2.751470588235294,0,1
sak,p2,1350,1594,1,276,2.3614814814814813,0,1
sak,p3,1066,1156,1,300,2.168855534709193,0,1
viestintä,p1,2408,2951,1,215,2.450996677740864,0,1
viestintä,p2,2153,2576,1,228,2.392940083604273,0,1
viestintä,p3,1965,2579,1,346,2.624936386768448,0,1
keskusta,p1,1600,2887,1,200,3.60875,1,1
keskusta,p2,1488,2206,1,113,2.96505376344086,1,1
keskusta,p3,1030,1727,1,155,3.353398058252427,1,1
turku,p1,2591,3217,1,247,2.4832111153994596,0,1
turku,p2,2149,2622,1,223,2.4402047463936714,0,1
turku,p3,2994,3561,1,285,2.37875751503006,0,1
eurovaalit2019,original,4235,7798,1,191,3.6826446280991734,1,1
lapset,p1,1614,1869,1,186,2.315985130111524,0,1
lapset,p2,1549,1764,1,419,2.277598450613299,0,1
